University Name,"City, State",Rank,Tuition and Fees,Undergrad enrollment
Abilene Christian University,"Abilene, TX",329,"$44,200.00","3,233"
Clark Atlanta University,"Atlanta, GA",329,"$30,270.00","3,618"
Concordia University Wisconsin,"Mequon, WI",329,N/A,"2,401"
Eastern Kentucky University,"RIchmond, KY",329,"$23,500(out-of-state) / $11,280(in-state)","13,448"
Ferris State University,"Big Rapids, MI",329,"$15,196(out-of-state) / $15,196(in-state)","8,989"
Husson University,"Bangor, ME",329,"$25,326.00","2,762"
"Indiana, PA","San Francisco, CA",329,"$15,322(out-of-state) / $11,724(in-state)","7,353"
Morgan State University,"Baltimore, MD",329,"$19,456(out-of-state) / $8,346(in-state)","9,027"
Radford University,"Radford, VA",329,"$26,266(out-of-state) / $12,952(in-state)","6,161"
Texas Woman's University,"Denton, TX",329,"$22,840(out-of-state) / $10,540(in-state)","10,034"
University of Hawaii at Hilo,"Hilo, HI",329,N/A(out-of-state) / N/A(in-state),"2,292"
University of Lynchburg,"Lynchburg, VA",329,"$38,150.00","1,595"
University of Tennessee at Chattanooga,"Chattanooga, TN",329,"$19,068(out-of-state) / $10,762(in-state)","10,203"
University of Texas at Tyler,"Tyler, TX",329,"$25,184(out-of-state) / $9,736(in-state)","7,683"
Campbell University,"Buies Creek, NC",343,"$42,830.00","2,699"
Cleveland State University,"Cleveland, OH",343,"$19,046(out-of-state) / $13,362(in-state)","9,418"
Georgia Southern University,"Statesboro, GA",343,"$21,784(out-of-state) / $7,144(in-state)","23,618"
Lincoln Memorial University,"Harrogate, TN",343,"$26,150.00","1,605"
Mount St. Joseph University,"Cincinnati, OH",343,"$39,650.00","1,545"
Pontifical Catholic University of Puerto Rico,"Ponce, PR",343,"$6,340.00","3,963"
Prairie View A&M University,"Prairie View, TX",343,"$22,590(out-of-state) / $7,386(in-state)","8,836"
University of Mary,"Bismarck, ND",343,"$21,468.00","2,650"
University of Northern Colorado,"Greeley, CO",343,"$28,370(out-of-state) / $12,882(in-state)","6,480"
Alvernia University,"Reading, PA",352,"$46,850.00","2,192"
Arkansas State University,"State University, AR",352,N/A(out-of-state) / N/A(in-state),"9,985"
Clarke University,"Dubuque, IA",352,"$42,420.00",815
St. Ambrose University,"Davenport, IA",352,"$38,113.00","1,939"
Texas A & M University - Kingsville,"Kingsville, TX",352,"$22,948(out-of-state) / $9,892(in-state)","5,386"
University of Wisconsin,"Oshkosh, WI",352,N/A(out-of-state) / N/A(in-state),"11,994"
Carson-Newman University,"Jefferson City, TN",358,"$38,700.00","1,606"
Daemen University,"Amherst, NY",358,"$38,874.00","1,656"
Mississippi College,"Clinton, MS",358,"$21,698.00","2,706"
